country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Guam,Oceania,Micronesia,24.89,No data,No data,No data,No data,No data,No data,No data,-,-
Marshall Islands,Oceania,Micronesia,No data,No data,No data,No data,42.60,No data,No data,No data,-,-
Micronesia,Oceania,Micronesia,No data,No data,No data,No data,16.56,10.24,10.81,No data,-34.7,-38.16
